"final_category","narrative_1","synopsis","assessments","events","events_6","phase","component","component_4","person_1_8"
"OTHER","Pilot reported an NMAC in cruise with an aircraft that was making 360 degree turns in their vicinity. Pilot took evasive action to avoid the other aircraft.","I was flying westbound; VMC at 4100 FT MSL; heading approximately 260 degrees. My ADSB showed an aircraft making turns in my vicinity; at approximately 100 FT above my altitude. I had already turned away from my course to avoid him; but he turned into me unexpectedly . After acquiring him visually; I made a descending turn to avoid contact. I made one 360 degree turn to keep the other aircraft insight. I saw that he was making continuous 360 degree turns. I continued westbound climbing back to 4500 FT MSL. The other aircraft made no attempt to avoid me and appeared to have never seen me. Once again; ADSB was a significant factor in me being able to avoid the other aircraft.","Airspace Structure","Conflict NMAC","Flight Crew Took Evasive Action","Cruise","","","Situational Awareness"
"OTHER","Air carrier Captain reported an NMAC with a UAS while on final approach. No evasive action was taken and the flight continued without further incident.","While on short final to Runway 24 RSW on a visual approach backed up by the  RNAV; an object was seen passing underneath the right wing approximately 100 feet below the aircraft. I was the PF and in the CA seat so I could only see the object for a brief amount of time; but it was black/silver and appeared to be a large quad copter moving in the opposite direction of the aircraft it did appear that the object initially moved from the left front to the right front of the aircraft; then passed underneath the right wing crossing the final approach course of runway 24 then made an almost 90 degree turn to pass out the right side of the aircraft. No evasive action was required and a normal landing was made. The PM in the FO seat had a much better and longer view of the object. There were several aircraft behind us stacked for landing sequencing. Cause: Possible unauthorized UAV operations.","Human Factors","Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR","General None Reported / Taken","Final Approach","","",""
"OTHER","Air carrier pilot reported GPS interference and then recovery between IMB and KU75M.","GPS signal was lost and subsequently recovered between IMB [VOR] and KU75M. Multiple aircraft on frequency reported the anomaly.","Aircraft; Environment - Non Weather Related; Procedure; ATC Equipment / Nav Facility / Buildings; Software and Automation","Aircraft Equipment Problem Less Severe; Inflight Event / Encounter Other / Unknown","General None Reported / Taken","Cruise","GPS & Other Satellite Navigation","Malfunctioning",""
"OTHER","General aviation pilot reported experiencing a NMAC in the traffic pattern. The other aircraft took evasive action to avoid a conflict.","Approached THA from the north runway 24 in use I announced my intention to fly overhead the field and enter a left downwind.  I heard another aircraft announce he was planning to enter a left downwind for same runway   I saw him quite away from the airport about to enter a left downwind   I announced I was overhead the field and entering a left downwind for runway 24   We momentarily paralleled each other (he was still pretty far from the runway. Then I saw him make a diving right turn because he thought there was a conflict   I had him in sight the whole time and didn't think there was a conflict   He was in Aircraft Y and I believe it was an instructional flight.","Airspace Structure; Human Factors","Conflict NMAC","Flight Crew Took Evasive Action","Initial Approach","","","Communication Breakdown"
"OTHER","ZLA Center Controller reported a ground stop at LAS Airport and understaffing at several ATC facilities led to a high workload that caused the sector to be unmanageable and unworkable.","When we got in at XA:30 the Controller in Charge (CIC) told us that Traffic Management Unit (TMU) had advised them that LAS would be busy until XD:00; but that's all the info/help we got. The closing coworkers had combined all 5 sectors up before XB:30 and around XB:45. I came back from break and de-combined sectors 54/55 to one scope and my mid partner was working 06/16/34 combined on the other scope. No one could stay to help because they were all already on 10-hour days and off at XA:00. Starting around that time; approximately Day 0 XA:00; I started to get a large number of LAS arrivals on the east side of the complex; while the west side (06/16) was getting spun and put into and out of holding. I had over 25 aircraft landing LAS within a 120-mile radius on 3 different arrival streams; two from ZLC and one from ZDV. TMU told me before they went home that they told ZDV to give us 15 MIT but that was zero help considering the volume I was receiving from all 3 flows. This barrage of arrivals continued on for an hour. There was literally nowhere to put all these aircraft. At one point I turned to my coworker and told him that I was at a loss; I have no idea what to do with all these aircraft there is literally nowhere to put them. My coworker then ended up calling the surrounding centers for me and choosing some aircraft to spin because I didn't have a spare second to go on the line.To add to this complexity; there were bad rides; some minimal weather and still overflights and departure traffic. The frequency congestion was filled with aircraft with lengthy ride reports and questions; aircraft checking in on my frequency in error since the surrounding sectors weren't used to us being de-combined so late; and I had one aircraft requesting a deviation for a buildup. They were getting moderate chop between FL260 and FL360 throughout my sector. The area controller who was working sectors 7/8/35/36 combined (these sectors surround our sectors) was too busy to use CPDLC so I had to 'steal eligibility' on ALL the CPDLC aircraft which added even more tasks to do. This controller was also working both east arrival flows alone.Management was well aware of what was coming and did nothing besides tell the two of us to 'make sure we stay de-combined;' apparently trying to check their box off; they told us not to combine up. Despite staying de-combined; the sector was unmanageable and unworkable. Both my mid partner and I have years of experience at ZLA and neither of us have ever seen something like this; that late at night with no staffing or help.After speaking with coworkers who were on the day shift; there was a ground stop during the day for LAS multiple times; and LAS stayed at a very low arrival rate of 36 all day long and config 1. There were no deviations on the day shift but they were still spun twice despite the low arrival rate. Sounds like the airport was slowed down all day long 'just in case' and then everyone goes home at XB:30 and everyone on the ground takes off at once. What I experienced last night was incredibly dangerous; and I do not say that lightly. If this had happened to two more inexperienced controllers; who knows what the outcome would've been. We are told during these countless safety briefings to just refuse handoffs or spin aircraft when we're overloaded; this is also an illogical response as now we're just pushing off the busy workload on other people. Salt Lake Center had conflict alert going off between multiple of these aircraft as they were trying to spin 4 - 5 of these arrivals for me as well as working their own busy traffic (yesterday was extremely high volume overall). It is completely unacceptable for there to be a ground stop and very low arrival rate all day and then after XB:30 everyone goes home and everyone on the ground takes off at once. It's illogical and dangerous. I want to say that I can't believe this happened; but I can. During safety briefings we're just told to push off aninsane workload on the previous controller who is also busy; when the actual solution should be that all these aircraft should NOT have been in the air AT THE SAME TIME. There were minimal arrivals to LAS after XD:15; why were these 100 aircraft not spread out over the nighttime hours? When I came back to work from XG:00 - XJ:00; I had TWO arrivals to LAS. There is no reason that these air carriers should've all been allowed to depart all at once just to keep their passengers happy. As far as I can tell; absolutely nothing was done to mitigate the situation besides telling me and my coworker we were 'gonna be busy' and then trying to give MIT on one of 7 arrival streams. With staffing already at desperate levels and getting worse and worse with losing people and the terrible new schedule rules; we need something that staggers these arrivals all night. The old way of 'TMU went home; you're all on your own' is NOT going to work anymore and something safety related is going to happen eventually. I know LAS isn't the only airport with this issue; this goes for any airport that's delayed all day and then all delays lifted at XC:00.","Human Factors","ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence","Air Traffic Control Provided Assistance; Air Traffic Control Separated Traffic; Flight Crew Requested ATC Assistance / Clarification","Cruise","","","Time Pressure; Workload; Troubleshooting; Situational Awareness; Communication Breakdown"
"OTHER","Light aircraft reported that after takeoff from TCY he became aware another aircraft broke off their landing attempt because of the conflict with his departure.","This is my first report. I was distracted by cabin conversation and 'get-there-itis' when preparing for takeoff from TCY yesterday afternoon. As this was just a quick fuel stop; I was eager to get back in the air and failed to do a full run-up. On taxi; I listened to CTAF and do not recall any traffic coming in on downwind; base; or final; though the cabin was not sterile at the time. After I made a radio call noting that I was taking the active Runway 30 for a straight out departure. That's exactly what I did. I only found out after takeoff at 800 feet on upwind that there may have been a plane on final and they aborted their landing because of me. I'm not certain that this actually happened as I never saw the plane on final; my passenger in the back seat said he thinks that that's what happened. I did see another aircraft taking off right behind me and it could have just been him on upwind behind me. Regardless; I thought I would report it and in the future; I am going to endeavor to have a sterile cockpit on near the runup/end of runway and to do a full runup and prep for takeoff every flight.","Human Factors","Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Incursion Runway","General None Reported / Taken","Takeoff / Launch","","","Communication Breakdown"
"OTHER","A TRACON Controller reported they misread the flight strip of a departing aircraft resulting in the aircraft flying below the minimum vectoring altitude.","I was trying to coordinate several departures off of ZZZ; ZZZ1; and ZZZ2. There also was a lot of coordination for airworkers in the airspace and trying to coordinate a flight of 2 military aircraft going to ZZZ3. The CIC at the time dropped off the strip and I noticed the ZZZ departure. I was then looking at my traffic and he had mentioned something which I did not catch as I was busy with my traffic. After the release of Aircraft X it was then I noticed on the flight strip ZZZ [departure] crossed off and ZZZ1 [departure] written on the strip. That was the reason for the question. I turned on the EOVM map and decided that an expedited climb was safer than vectoring below the MVA.Maintain better situational awareness and just issue the low altitude alert if I wasn't sure of the situation to be on the safe side. Perhaps another option is to have ZZZ1 Tower readback the actual clearance as opposed to just reading back they're initials to avoid miscommunication between ZZZ1 and flight data. They are the only airport in our airspace that does that.","Airspace Structure; Chart Or Publication; Procedure; Human Factors","ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued New Clearance","Climb","","","Distraction; Workload; Situational Awareness; Communication Breakdown"
"OTHER","Air carrier flight crew reported receiving a low altitude alert from SFO Tower while responding to a TCAS RA; and; after executing a go-around; received another low altitude alert when they used FLCH mode that generated a high rate of descent.","After being cleared for the Tipp Toe Visual approach we received an RA as we joined the final approach course. We had the pairing traffic in sight just prior to receiving the RA however it appeared on the Multi-function Flight Display (MFD) that the traffic on our right was possibly drifting through the 28R final approach course and I could not confidently feel that there was no threat of conflict. The RA voice guidance advised a descent. I instructed the pilot flying (PF) to disconnect the Autopilot and auto-throttle and fly the box which he performed correctly. I advised SFO Tower that we were responding to an RA. I estimate we descended approximately 500ft until we received level off instructions and the clear of conflict announcement. About this time SFO Tower advised us of a low altitude alert. I responded that we were responding to RA guidance and that we were going around. SFO Tower gave us instructions and the go around was performed. During our second approach after receiving visual approach clearance the PF set the appropriate altitude of 1800ft for the FAF and began the descent. I soon realized he was in green flight level change and that he was descending much quicker than he needed to. I intervened and selected FPA to shallow the descent. As we began to level at 1800ft SFO Tower advised us of another low altitude alert. I responded that we had the correct altimeter setting and were at 1800ft. I suspect that low altitude alert was triggered by our rate of descent as we never went below 1800ft to my knowledge. The approach continued; was stable and resulted in a normal landing. During post flight debrief we discussed the use of flight level change and the threats of using it in certain situations.Cause: SFO approach congestion as well as the PF's use of flight level change that may have triggered a low altitude alert from ATC.Suggestions: As a crew; briefing potential threats of SFO close parallel operations and the appropriate use of Flight level change.","Procedure; Human Factors","Conflict Airborne Conflict; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert; Flight Crew Took Evasive Action; Flight Crew Became Reoriented; Flight Crew Executed Go Around / Missed Approach","Final Approach","","","Situational Awareness"
"OTHER","Air carrier flight crew reported responding to a TCAS RA on final approach to PHL that was caused by a helicopter flying beneath them. Flight crew followed RA instructions and resumed approach.","Flying the ILS 27R into Philadelphia; in between 2000 feet and 1500 feet we received an RA from a helicopter below us call-sign X. We followed the aircraft RA instructions to avoid any collision; once clear of conflict; resumed the approach and got back on stable parameters and landed without incident runway 27R.  Tower was notified of the RA we received.   Cause: The helicopter was in airspace it should not have been.  Followed RA from aircraft to avoid possible collision.","Airspace Structure; Procedure; Human Factors","ATC Issue All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy","Flight Crew Took Evasive Action","Initial Approach","","","Confusion"
"OTHER","Air carrier Captain reported the unshielded ramp lighting caused an intense glare while on final approach. The reporter noted that this was a problem with other airports; and that the unshielded lighting can create an illusion of other air traffic and affect being able to see other aircraft at night.","I'm concerned as to the lighting around airports lately. I have found the Ramp lighting in the Cargo Ramp; northeast corner; adjacent to the Runway 21 touchdown zone; is unshielded and caused intense glare to us on approach to Runway 21 that night. This prompted me to write this report. An easy fix would be to shield the Ramp lighting so that the light source can only be seen from the Cargo Ramp pavement.As I fly around the country lately; I have encountered several instances where unshielded lighting surrounding airports can create an illusion of other air traffic; this is especially true at low altitudes. Ideally if all ground-based outdoor lighting were to be shielded to only shine on the ground and out of the sky; I believe aircraft would have an advantage of seeing each other at night.","Airport","Ground Event / Encounter Ground Equipment Issue","","Final Approach","","","Distraction"
"OTHER","Flight Instructor reported an NMAC during departure after the tower had closed for the day.","During left crosswind turn on at PQL; my aircraft nearly got inside of Aircraft Y traffic established on the downwind for 17 during our climb out. Shortly after the Aircraft Y called 'downwind 17'; my student visually cleared the aircraft and made the crosswind call. Upon rolling out on downwind; Aircraft Y queried our position; to which we replied 'downwind 17'. CFI then noticed Aircraft Y traffic slightly ahead and abeam at roughly 5 wingspans distance. CFI took controls and sequenced behind the other aircraft to give way.CFI did not see the traffic prior to the crosswind turn. There is potential they could have been masked by our wing or other part of cockpit. Aircraft was equipped with Stratus and CFI EKB (Electronic Kneeboard) was connected; but admittedly was focused primarily outside VFR scan. Given the length of time between the other aircraft's 'downwind' call and our crosswind call; it seemed proper deconfliction and interval had been established between other traffic in the pattern. Despite best efforts to visually confirm downwind aircraft's position; we were unable to locate them and in our judgement we were clear to begin crosswind turn. As the CFI; I should have taken a moment to reference ADSB to ensure clearance before allowing the student to turn. Luckily this ended in a non event but nonetheless has served as a sobering learning opportunity for both my student and myself. Of note; PQL is usually a towered Class D but was inactive at the time and reverted to Class E airspace / CTAF frequency.","Airport; Human Factors","Conflict NMAC","Flight Crew Took Evasive Action","Initial Climb","","","Situational Awareness; Training / Qualification"
"OTHER","ZSE Controller reported aircraft descended below published altitude resulting in a low altitude alert and a CFTT event.","Aircraft X was on the RNAV11 into RDM between JJETT and IYIVA waypoints. I have seen other aircraft miss the MEA on this segment of the approach and when I noticed the aircraft was near 080 I pulled up where IYIVA was on the scope and after I double checked the altitude on the approach I realized the aircraft had descended through the MEA of 080. I then issued a low altitude alert and instructed the aircraft to climb back up to the MEA. This has happened several times; perhaps making the altitudes larger on the approach plate might help pilots but other than that it's just up to them to read the plate correctly","Human Factors","Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert; Flight Crew Returned To Clearance","Final Approach","","","Confusion"
"OTHER","Air carrier First Officer reported receiving a GPWS terrain alert on approach to MMMM/MLM airport.","I was flying into Morelia. The pilot monitoring and pilot flying did brief the plate and company notes before flying this approach. Flying VOR Y RWY 23 approach. I believe before DME 12.0 I realized quickly that I was too high; I believe we were at 10;000 FT MSL. I told the pilot monitoring that I was too high. At that point I do not recall exactly what we decided to do. I believe we chose to utilize flaps 9; speed brakes out; power idle; and more of a descent rate. Within seconds of trying to drop quickly; I realized again that we were just too high for this approach. At that point a 360 turn was suggested. The pilot monitoring then asked ATC if we were allowed to do a 360. Which ATC said; 'it was more than fine'. During the 360 turn and descending we received one audible warning of 'TERRAIN'. At that moment I pilot flying leveled out; stopped the descent; full throttle and started to climb. The audible warning was [heard] once and went away. The pilot monitoring advised to keep the turn coming.  As we finished the turn; we were back at our original dilemma of being too high. We tried to drop quickly again with no success. At that point; we chose to conduct the go-round procedures with no further issues.I believe why we were too high is we were trying to make the box more suitable for our approach.I read this plate over and over after this incident. I know we might think certain things are easier to do; but I will just fly the missed approach. That is what it is there for.","Environment - Non Weather Related; Human Factors","ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach","Flight Crew Became Reoriented; Flight Crew Took Evasive Action","Initial Approach","","","Situational Awareness"
"OTHER","Air Taxi First Officer reported landing safely after receiving a low altitude alert on short final to BOS airport.","We were given ILS 4R and were subsequently given a visual approach. Approximately 1/2 to 1 mile prior to the runway; I was given a low altitude alert with the correct altimeter setting. I did have the vertical guidance for the ILS still up and showed 1 dot low on the glideslope. I revisited the altitude and track logs and saw an increase in descent rate in the path prior to the alert being issued and speculate that this may be a contributing reason for the alert on the visual approach. Though visual in daylight conditions; I will use the vertical ILS guidance as an additional tool to assist in preventing re-occurrence.","Human Factors","Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented","Final Approach","","","Situational Awareness"
"OTHER","Air carrier Captain reported receiving a low altitude alert from ATC on approach to LAX; citing possible miscommunication with ATC as contributing.","While on descent for turn to final approach; autopilot engaged; we were given a descent clearance to 1;600 feet. This is a low altitude; but we were being vectored for our base turn shortly. We were told to; 'Expedite descent.'  We all know ATC has minimum vectoring altitudes that aren't listed in our charts. When the clearance was given; my pilot monitoring FO set the altitude and pointed at the number without speaking it as is company policy. I confirmed that was the altitude given by pointing at the number and stating '1;600 feet.'Our relief FO was also in the flight deck during this final phase and had been for several hours. We all three heard the clearance. As we descended through 2;000 feet ATC said; 'Low altitude alert. Climb immediately to 2;600.' My monitoring FO read back the clearance and put in the new altitude and pointed; I pointed and stated 2;600 feet while engaging Flight Level Change. The plane smoothly climbed 600 feet. At this point I stated that I had initially heard 1;600. My monitoring FO said that's what she heard too.  The relief FO said that the controller DID say 1;600 feet. I'm confident that all three of us heard what we were assigned. At the time we clearly had the ground in site and visibility was such that when we were turned towards the airport that we had the runway in sight. Instrument and visual approaches were being conducted. The rest of the flight was uneventful.","Human Factors","ATC Issue All Types; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Returned To Clearance; Flight Crew Took Evasive Action","Final Approach","","","Communication Breakdown; Situational Awareness"
"OTHER","TRACON Controller reported aircraft descended below assigned altitude on approach resulted in a low altitude alert and a CFTT event.","A BE9L was requesting ILS Approach into RWY XX at ZZZ Airport. At the time ZZZ Tower was closed. The aircraft was coming from the southwest direct ZZZZZ. I told the aircraft to expect radar vectors to final. I descended the aircraft to 060. I then issued the approach clearance; I emphasized the altitude assignment; 'Descend and maintain five thousand two hundred (052).' The aircraft read back the altitude assignment correctly. I continued to observe the aircraft as I saw a Low Altitude alert on the aircraft above the MVA. As soon as the aircraft passed 052 I issued a climb back to 052 and issued a low altitude alert. The aircraft immediately complied and climbed back to assigned altitude. The approach continued without further incident. The lowest the aircraft got to was 048 in the 052 MVA as he was rapidly descending.Recommendation: Pilots sometimes say they will do something and do something different. Not sure how to remedy this. Pilots already have high workload; but they need to be fully focused.","Human Factors","Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert; Flight Crew Returned To Clearance; Flight Crew FLC complied w / Automation / Advisory","Descent","","","Situational Awareness"
"OTHER","C-172 Flight Instructor reported a near mid air collision with departing aircraft while entering traffic pattern.","We were on a 45 into the right downwind for runway XX at pattern altitude (about 5 miles from the airport). Tower told departing traffic to make a right turn which pointed them directly at us. Upon realizing we were about to collide (1 Mile apart same altitude and within 30 degrees of being head to head) I made a descending left turn to avoid the collision. As I was making the turn the aircraft gave me a traffic alert and I notified tower of our deviation. It is my opinion that tower's response to this occurrence was inadequate and too relaxed.","Human Factors; Procedure","ATC Issue All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Clearance","Flight Crew Took Evasive Action","Initial Approach","","","Communication Breakdown"
"OTHER","Part 107 UAS pilot reported a brief entry into controlled airspace without authorization. The pilot immediately exited the controlled airspace.","As the Remote Pilot in Command (RPIC); I was operating a DJI Mini 4 Pro with a Plus Battery (total weight 291g) for a commercial photography flight.The flight took place at Location A in Class C Airspace with a designated maximum altitude of 100 feet.Day 0 approx. XA:40am The incident occurred during an automated MasterShots flight.My drone was flying an automated MasterShots circuit. Upon realizing that the automation would exceed the 100-foot altitude restriction; I stopped the flight immediately. However; due to inertia; the drone continued to climb slightly; reaching a maximum altitude of 32 meters (104.9 feet)--4.9 feet into controlled airspace. I immediately lowered the altitude back below 100 feet.The altitude violation occurred due to the inertia of the drone after stopping the automated flight. I failed to anticipate the impact of momentum in an automated flight mode.To prevent this in the future; I will never fly automated MasterShots in areas with height restrictions. Additionally; I will manually control flights in restricted airspace to ensure strict adherence to altitude limits.","Human Factors; Software and Automation","Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS)","Flight Crew Exited Penetrated Airspace","","","","Situational Awareness"
"OTHER","Cessna 210 pilot reported a near midair collision with a jet aircraft on approach at intersecting runways. The pilot initiated a go-around to prevent a conflict.","I was flying an aircraft from ZZZ1 to ZZZ. When I was 8 miles out; I started announcing my position and noted there were at least 4 other aircraft in the pattern and they were all using Runway XX. I flew southwest of the field and entered a downwind for Runway XX. I turned my base leg and noted other aircraft behind me in the pattern. Shortly after turning on final for Runway XX; I heard a call out from another aircraft (jet) that they were going to use Runway XY (which would be a downwind landing with an intersection crossing on Runway XX.) At about the same time there were other aircraft in the downwind which would be in direct conflict with the jet. The jet then announced he was on final and I was in immediate danger of a direct conflict as his flight path and mine would intersect between Runway XY and Runway XX. I announced on the Unicom that aircraft in the pattern were already using Runway XX; but that I would do a go around to avoid conflict.After landing I noted the aircraft identification. A few moments later I then noted another jet of same make and model took off from Runway XZ; which was then not only downwind; but in direct conflict with prevailing traffic using Runway XX. These two aircraft appeared to be from the same operator on the field and were apparently flown by the same pilot. My strong recommendation is that given the busy student filled pattern at ZZZ; that all jet aircraft not only should exercise extreme caution but that they use the pattern properly; avoid crossing intersecting runways and announce far enough out to observe and plan their approach accordingly. It would also be helpful if ZZZ Approach warned aircraft flying into ZZZ of the constant student traffic and parachute operations which both contribute to a crowded uncontrolled airspace.","Airspace Structure; Human Factors","Conflict NMAC","Flight Crew Executed Go Around / Missed Approach","Final Approach","","","Communication Breakdown; Workload"
"OTHER","Air carrier pilot reported that on final approach to JAX the turn-off lights for Taxiway H and G create an illusion where it looks like there is a vehicle or plane on Runway 26.","On final approach; around the FAF; the taxi turn-off lights for Taxiway H and G look like a vehicle or plane on the runway; just left of centerline. This is for Runway 26. No other runway I've landed on has this illusion caused by turnoff or taxiway lighting.Lights need to be adjusted to not be visible from the air.","ATC Equipment / Nav Facility / Buildings","Ground Event / Encounter Ground Equipment Issue","","Initial Approach","","","Workload; Situational Awareness; Distraction; Confusion"
"OTHER","A Flight Instructor reported two NMAC's while on downwind in the Tower VFR pattern.","Coming back in from the mountain pass; VFR in bound full stop at ZZZ. Tower told us to enter 45 to the downwind for right traffic runway XXR and to follow traffic in front of us (Cherokee). As we were starting our turn to the downwind the Archer that was following us in was told by Tower to follow the traffic that we were told to follow (Cherokee). They (the Archer) then cut us off getting so close that I could see the people in the aircraft. At this point I took flight controls and initiated a 360 degree turn in the downwind for spacing. Then a different controller came on to apologize for the miscommunication and let us know they (the previous controller) were training. Later in the downwind Tower again initiated a 360 for spacing to which the Archer did a turn 540 degrees. When exiting the turn; they looked head on to us; resulting in us having to again take evasive action. Tower then told them to fly base along the freeway which then allowed them to change course. Throughout this interaction there were no traffic alerts issued by the tower. Final to landing no incidents occurred. I also called the tower manager following this occurrence. They again apologized and suggested we speak up when we believe instructions are incorrect and also for all to maintain more vigilance in this crowded airspace","Procedure; Human Factors; Environment - Non Weather Related","ATC Issue All Types; Conflict NMAC","Air Traffic Control Issued New Clearance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action","Initial Approach","","","Confusion; Communication Breakdown; Training / Qualification; Workload"
"OTHER","Air carrier flight crew reported the TRACON Controller descended them to an altitude below the minimum vectoring altitude then issued a low altitude alert.","Arriving into ZZZ on downwind leg to runway XXR off the ZZZ arrival; we were given a descent to 4000 feet before ZZZZZ. We were then given a descent to 1600 feet and told to expedite"". All three of us heard this and I read back the descent clearance of 1600 feet. As I was doing so; I was mentally thinking that this altitude is lower than normal; there is terrain in the area; however I think we are okay since we are going to make a right turn towards the airport now; and it is VMC. But also thinking; there must be traffic somewhere we cannot see due to the ""expedite"" and/or; we are being squeezed in on the approach. As we were descending through approximately 2100 feet; the controller called out an altitude alert to us and to climb to 2600 feet which we immediately did so. In listening to the ATC tapes; I do believe I hear 1600 feet assigned from the controller; but also feel I should have questioned the altitude. The rest of the flight went without incident. ATC Issued Low Altitude Warning.""","Airspace Structure; Chart Or Publication; Human Factors; Procedure","ATC Issue All Types; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Became Reoriented; Flight Crew Requested ATC Assistance / Clarification","Final Approach","","","Workload; Situational Awareness; Communication Breakdown"
"OTHER","Light aircraft pilot reported an NMAC on approach to D57 airport.","I was approaching D57 from the East at pattern elevation on the south side of the east-west runway.    My intention was to make a 180 to enter downwind.    I did not hear another aircraft on the radio until after we passed.    Evidently; the other aircraft was on a downwind.   His pattern evidently was wider than I am used to.    When I heard the audio warning; I angled farther to the right to allow saving for us to pass.     When I got on downwind; I heard his call for base and final.   I extended my downwind to allow plenty of separation.   When I turned final; the other aircraft announced short final.    I still could not see him.   Difficult to see.   Finally; I was able to see him getting off the runway while I was still on final.Looking back;   I should have approached several miles farther south of the pattern and then entered on a 45 to downwind.","Human Factors","Conflict NMAC","Flight Crew Took Evasive Action","Initial Approach","","","Communication Breakdown; Situational Awareness"
"OTHER","Flight Instructor reported during landing roll-out a small jet did a go-around overflying the instructor's aircraft.","On Day 0 at approximately XA25; I was conducting a training flight for a High Performance endorsement in Aircraft X. I was in the right seat; and the student was in the left seat; he was manipulating the controls. We took off from AFJ; after doing some air work to the south; we returned to AFJ for pattern work. After one full stop; we taxied back to runway 27 for another lap in the pattern. The takeoff was normal; I saw multiple targets on the Garmin Perspective+ while we were on downwind for 27 but no one was on frequency and the targets were not visible; and did not appear to be a factor. The landing was normal; in the roll out on the runway; the Garmin was showing a target of +100 feet at our position. At this time; I looked up and Aircraft Y listed above was doing a low pass over the runway in the direction of Runway 27. Which I later found out was an unexpected Go Around due to us being on the runway. I attempted radio contact with Aircraft Y who I now had visibly in the downwind for 27. He responded without delay; he continued his pattern to a full stop landing on Runway 27; however with only one radio call of his position while in the pattern. I talked to the ground crew that filled the airplane with fuel before they departed; who witnessed the close call. They stated the Pilot of Aircraft Y admitted they have been having radio problems.","Human Factors","Conflict Ground Conflict; Critical","Flight Crew Took Evasive Action","Landing","","","Communication Breakdown"
"OTHER","Low wing aircraft Flight Instructor reported taking evasive action to avoid traffic resulted in a NMAC event.","The event happened during my second flight of the day upon arrival back to GYR. We were flying the Gap Arrival at 2;500MSL and I was instructing my SP on the arrival  procedures and the associated landmarks. My student made the initial call to GYR tower and received a clearance of left downwind for runway 21. When approximately 1 to 2 miles south of the gap GYR's tower controller informed us of traffic. I looked up and saw what I believed to have been the traffic which was a light sport aircraft north of the gap and above us. My student first noticed the traffic and began turning the aircraft left (north west) and shortly thereafter I heard the G1000's traffic warning and looked up to see an aircraft southbound at approximately our same altitude but slightly offset to the east side of the gap close to the mountains. Taking controls I initially turned left (west) as the traffic as to our right but then shortly after beginning my turn the aircraft turned in our direction southwest bound. This is when I decided to perform an emergency descent and turned away from rising terrain. After descending 500 feet the opposing traffic passed behind us and continued westbound. We continued the gap arrival with no further incident. Additionally; it sounded like the same controller was working both tower and ground frequency at GYR.","Airspace Structure; Airport","Conflict NMAC","Flight Crew Took Evasive Action","Cruise","","","Time Pressure"
